,#RIC,Alias Underlying RIC,Domain,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,date,time,Adjusted Open
4415,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.6,113.6,113.6,113.6,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:13:00,106.96309045655367
4416,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.5,113.5,113.5,113.5,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:14:00,106.8689328065039
4417,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.5,113.5,113.5,113.5,5.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:16:00,106.8689328065039
4418,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.2,113.2,113.2,113.2,14.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:18:00,106.58645985635455
4419,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.3,113.3,113.3,113.3,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:20:00,106.68061750640432
4420,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.3,113.4,113.3,113.4,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:22:00,106.68061750640432
4421,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.1,113.1,113.1,113.1,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:25:00,106.49230220630477
4422,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.2,113.2,113.2,113.2,0.0,3.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:32:00,106.58645985635455
4423,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.2,113.2,113.2,113.2,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:33:00,106.58645985635455
4424,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.0,113.0,113.0,113.0,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:34:00,106.39814455625498
4425,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.9,112.9,112.9,112.9,4.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:41:00,106.30398690620521
4426,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,113.0,112.0,113.0,2.0,3.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:42:00,105.92735630600608
4427,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.0,113.0,113.0,113.0,38.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:46:00,106.39814455625498
4428,HGc1,HGN7,Market Price,-4,Intraday 1Min,113.25,113.25,112.1,112.1,0.0,4.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:50:00,106.63353868137945
4429,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.2,112.2,112.2,112.2,4.0,3.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:51:00,105.64488335585672
4430,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.2,112.2,112.2,112.2,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:55:00,105.64488335585672
4431,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.3,112.3,112.3,112.3,8.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:57:00,105.73904100590649
